name,slug,averageGap,points,tags
2001,2001,4.678,1.5,number
46 Days,46-days,4.558,1.5,number
555,555,5.555,2,number
A Song I Heard The Ocean Sing,a-song-i-heard-the-ocean-sing,12.733,4,
A Wave Of Hope,a-wave-of-hope,5.944,2,
About to Run,about-to-run,8.157,2.5,
AC/DC Bag,acdc-bag,5.935,2,
Access Me,access-me,94.166,6.5,
After Midnight,after-midnight,84.25,6.5,
Alaska,alaska,13.071,4,
All of These Dreams,all-of-these-dreams,41.266,6.5,
All Things Reconsidered,all-things-reconsidered,17.765,5,
Alumni Blues,alumni-blues,9.538,3,
Amazing Grace,amazing-grace,11.414,3.5,
Anarchy,anarchy,163.916,6.5,
And So To Bed,and-so-to-bed,92,6.5,
Anything but Me,anything-but-me,51.5,6.5,
Army of One,army-of-one,22.259,5.5,
Ass Handed,ass-handed,13.421,4,
Auld Lang Syne,auld-lang-syne,61.592,6.5,
Avenu Malkenu,avenu-malkenu,23,5.5,
Axilla,axilla,11.745,4,
Axilla (Part II),axilla-part-ii,22.49,5.5,
Back at the Chicken Shack,back-at-the-chicken-shack,95.25,6.5,animal
Back on the Train,back-on-the-train,5.013,1.5,
Backwards Down the Number Line,backwards-down-the-number-line,4.259,1.5,
Bathtub Gin,bathtub-gin,5.744,2,
Beauty Of My Dreams,beauty-of-my-dreams,16.603,5,
Beneath a Sea of Stars (Part 1),beneath-a-sea-of-stars-part-1,11.076,3.5,
Big Black Furry Creature From Mars,big-black-furry-creature-from-mars,13.401,4,animal
Billy Breathes,billy-breathes,15.781,4.5,
Birds Of A Feather,birds-of-a-feather,6.137,2,animal
Bitchin' Again,bitchin-again,1440,7,
Bittersweet Motel,bittersweet-motel,41.368,6.5,
Black-Eyed Katy,black-eyed-katy,118.428,6.5,
Blaze On,blaze-on,4,1.5,
Bliss,bliss,80.5,6.5,
Bold As Love,bold-as-love,22.072,5.5,
Bouncing Around The Room,bouncing-around-the-room,3.439,1,
Breath and Burning,breath-and-burning,15.588,4.5,
Brian And Robert,brian-and-robert,15.384,4.5,
Brother,brother,23.983,6,
Buffalo Bill,buffalo-bill,61.428,6.5,animal
Bug,bug,8.28,3,animal
Buried Alive,buried-alive,9.469,3,
Camel Walk,camel-walk,30.843,6.5,animal
Carini,carini,6.559,2,
Cars Trucks Buses,cars-trucks-buses,11.744,4,
Catapult,catapult,38.857,6.5,
Cavern,cavern,3.402,1,
Chalk Dust Torture,chalk-dust-torture,3.009,1,
Character Zero,character-zero,3.962,1.5,number
Cities,cities,18.439,5,
Clear Your Mind,clear-your-mind,20,5.5,
Colonel Forbin's Ascent,colonel-forbins-ascent,14.601,4.5,
Contact,contact,10.697,3.5,
Cool Amber and Mercury,cool-amber-and-mercury,23.857,6,
Corinna,corinna,63.9,6.5,
Crimes of the Mind,crimes-of-the-mind,180,6.5,
Crosseyed And Painless,crosseyed-and-painless,14.918,4.5,
Crossroads,crossroads,133,6.5,
Crowd Control,crowd-control,26.545,6,
Dahlia,dahlia,1571.999,7,
Dave's Energy Guide,daves-energy-guide,93.476,6.5,
David Bowie,david-bowie,3.889,1,
Death Don't Hurt Very Long,death-dont-hurt-very-long,13.916,4.5,
Demand,demand,72.062,6.5,
Destiny Unbound,destiny-unbound,30.211,6.5,
Dinner And A Movie,dinner-and-a-movie,12.637,4,
Dirt,dirt,12.027,4,
Divided Sky,divided-sky,4.418,1.5,
Dog Faced Boy,dog-faced-boy,21.277,5.5,animal
Dog Gone Dog,dog-gone-dog,81.25,6.5,animal
Dog Log,dog-log,81.25,6.5,animal
Dogs Stole Things,dogs-stole-things,21.146,5.5,animal
Don't Doubt Me,dont-doubt-me,20,5.5,
Down With Disease,down-with-disease,3.699,1,
Driver,driver,21.277,5.5,
Drowned,drowned,20.978,5.5,
Egg In A Hole,egg-in-a-hole,26.666,6,
Eliza,eliza,71.363,6.5,
Emotional Rescue,emotional-rescue,137.333,6.5,
End Of Session,end-of-session,107.5,6.5,
Esther,esther,13.455,4,
Evening Song,evening-song,24.4,6,
Everything's Right,everythings-right,4.551,1.5,
Evolve,evolve,13.625,4,
Faht,faht,107.416,6.5,
Family Picture,family-picture,1409,7,
Farmhouse,farmhouse,9.845,3,
Fast Enough For You,fast-enough-for-you,16.779,5,
Fee,fee,6.66,2,
Fikus,fikus,159.6,6.5,
Fire,fire,14.297,4.5,
First Tube,first-tube,5.796,2,
Flat Fee,flat-fee,90.714,6.5,
Fluffhead,fluffhead,7.122,2.5,
Fly Famous Mockingbird,fly-famous-mockingbird,13.503,4,animal
Foam,foam,5.119,1.5,
Frankenstein,frankenstein,18.239,5,
Frankie Says,frankie-says,25.125,6,
Free,free,4.716,1.5,
Friday,friday,47.538,6.5,
Fuck Your Face,fuck-your-face,95.55,6.5,
Fuego,fuego,4.43,1.5,
Funky Bitch,funky-bitch,8.438,3,
